pressure_height,ozone_readings
5660,0.666666667
5700,0
5760,0
5790,0.333333333
5770,0
5870,0
5680,0
5760,0.666666667
5700,0
5650,0
5680,0
5820,0.333333333
5790,0
5700,0
5610,0.333333333
5770,0.333333333
5770,0
5730,0
5740,0
5770,0.666666667
5660,0
5530,0
5690,0
5740,0
5780,0
5710,0.333333333
5750,0
5610,0
5680,0
5550,0.333333333
5620,0
5630,0
5580,0.666666667
5760,0
5790,0
5660,0
5710,0
5730,0
5770,0.333333333
5680,0
5730,0
5880,0
5850,0
5820,0
5770,0
5800,0
5740,0
5710,0
5740,0
5720,0
5680,0
5720,0
5690,0
5760,0
5830,0
5880,0
5830,0
5870,0
5860,0
5870,0
5870,0
5820,0
5820,0
5890,0
5900,0
5890,0
5890,0
5910,0
5870,0
5770,0
5820,0
5820,0
5800,0
5800,0
5730,0
5750,0
5760,0
5810,0
5860,0
5840,0
5800,0
5800,0
5770,0
5750,0
5760,0
5840,0
5890,0
5760,0.333333333
5790,0
5810,0
5750,0
5920,0
5900,0
5850,0
5770,0.666666667
5660,0
5810,0
5760,0
5810,0
5760,0
5750,0
5780,0.333333333
5660,0
5680,0
5710,0.333333333
5550,0.666666667
5770,0.666666667
